,firing rate,experiment,layer
499,0.004999999888241291,GT,L2/3
500,0.08500000089406967,GT,L2/3
501,0.375,GT,L2/3
502,0.9983333349227905,GT,L2/3
528,0.011666666716337204,GT,L2/3
503,0.019999999552965164,GT,L2/3
505,0.0016666667070239782,GT,L2/3
506,0.0033333334140479565,GT,L2/3
507,0.0033333334140479565,GT,L2/3
508,0.029999999329447746,GT,L2/3
509,0.04833333194255829,GT,L2/3
510,0.011666666716337204,GT,L2/3
504,0.038333334028720856,GT,L2/3
529,0.023333333432674408,GT,L2/3
530,0.011666666716337204,GT,L2/3
531,0.013333333656191826,GT,L2/3
550,0.028333334252238274,GT,L2/3
551,0.12166666984558105,GT,L2/3
552,0.008333333767950535,GT,L2/3
553,0.03500000014901161,GT,L2/3
554,0.07000000029802322,GT,L2/3
555,0.05999999865889549,GT,L2/3
549,0.0016666667070239782,GT,L2/3
556,0.004999999888241291,GT,L2/3
558,0.09000000357627869,GT,L2/3
559,0.014999999664723873,GT,L2/3
560,0.019999999552965164,GT,L2/3
561,0.14166666567325592,GT,L2/3
562,0.0016666667070239782,GT,L2/3
563,0.0716666653752327,GT,L2/3
557,0.08833333104848862,GT,L2/3
496,0.004999999888241291,GT,L2/3
548,0.07999999821186066,GT,L2/3
546,0.03500000014901161,GT,L2/3
532,0.004999999888241291,GT,L2/3
533,0.09333333373069763,GT,L2/3
534,0.02666666731238365,GT,L2/3
535,0.036666665226221085,GT,L2/3
536,0.05166666582226753,GT,L2/3
537,0.009999999776482582,GT,L2/3
547,0.03333333507180214,GT,L2/3
538,0.011666666716337204,GT,L2/3
540,0.03333333507180214,GT,L2/3
541,0.008333333767950535,GT,L2/3
542,0.009999999776482582,GT,L2/3
543,0.013333333656191826,GT,L2/3
544,0.03500000014901161,GT,L2/3
545,0.021666666492819786,GT,L2/3
539,0.008333333767950535,GT,L2/3
424,0.018333332613110542,GT,L2/3
495,0.021666666492819786,GT,L2/3
493,0.1316666603088379,GT,L2/3
456,0.018333332613110542,GT,L2/3
455,0.009999999776482582,GT,L2/3
454,0.004999999888241291,GT,L2/3
453,0.0016666667070239782,GT,L2/3
452,0.0033333334140479565,GT,L2/3
451,0.0,GT,L2/3
450,0.03333333507180214,GT,L2/3
449,0.03333333507180214,GT,L2/3
448,0.0033333334140479565,GT,L2/3
447,0.03166666626930237,GT,L2/3
446,0.45500001311302185,GT,L2/3
445,0.014999999664723873,GT,L2/3
444,0.0016666667070239782,GT,L2/3
443,0.4399999976158142,GT,L2/3
442,0.03333333507180214,GT,L2/3
441,0.008333333767950535,GT,L2/3
440,0.054999999701976776,GT,L2/3
426,0.0016666667070239782,GT,L2/3
427,1.9550000429153442,GT,L2/3
428,0.20999999344348907,GT,L2/3
429,0.07999999821186066,GT,L2/3
430,0.0016666667070239782,GT,L2/3
431,1.5099999904632568,GT,L2/3
457,0.02500000037252903,GT,L2/3
432,1.618333339691162,GT,L2/3
434,1.350000023841858,GT,L2/3
435,0.9916666746139526,GT,L2/3
436,0.036666665226221085,GT,L2/3
437,0.0,GT,L2/3
438,0.0016666667070239782,GT,L2/3
439,0.0,GT,L2/3
433,1.3350000381469727,GT,L2/3
458,0.009999999776482582,GT,L2/3
459,0.0,GT,L2/3
460,0.40666666626930237,GT,L2/3
479,0.036666665226221085,GT,L2/3
480,0.004999999888241291,GT,L2/3
481,0.2849999964237213,GT,L2/3
482,0.1366666704416275,GT,L2/3
483,0.006666666828095913,GT,L2/3
484,0.20000000298023224,GT,L2/3
478,0.03333333507180214,GT,L2/3
485,0.011666666716337204,GT,L2/3
487,0.0716666653752327,GT,L2/3
488,0.12166666984558105,GT,L2/3
489,0.011666666716337204,GT,L2/3
490,0.011666666716337204,GT,L2/3
491,0.1066666692495346,GT,L2/3
492,0.0416666679084301,GT,L2/3
486,0.0033333334140479565,GT,L2/3
494,0.038333334028720856,GT,L2/3
477,0.013333333656191826,GT,L2/3
475,0.0016666667070239782,GT,L2/3
461,0.009999999776482582,GT,L2/3
462,0.004999999888241291,GT,L2/3
463,0.0,GT,L2/3
464,0.0016666667070239782,GT,L2/3
465,0.0,GT,L2/3
466,0.004999999888241291,GT,L2/3
476,0.023333333432674408,GT,L2/3
467,0.3583333194255829,GT,L2/3
469,0.009999999776482582,GT,L2/3
470,0.006666666828095913,GT,L2/3
471,0.028333334252238274,GT,L2/3
472,0.029999999329447746,GT,L2/3
473,0.004999999888241291,GT,L2/3
474,0.006666666828095913,GT,L2/3
468,0.008333333767950535,GT,L2/3
423,0.21666666865348816,GT,L2/3
412,0.0016666667070239782,GT,L2/3
98,0.5833333134651184,NS,L2/3
97,0.23999999463558197,NS,L2/3
656,0.009999999776482582,GT,L4
657,0.800000011920929,GT,L4
658,0.0033333334140479565,GT,L4
659,0.0716666653752327,GT,L4
660,0.0016666667070239782,GT,L4
661,0.0033333334140479565,GT,L4
679,0.3566666543483734,GT,L4
663,1.0700000524520874,GT,L4
664,0.7733333110809326,GT,L4
665,0.41999998688697815,GT,L4
666,0.14166666567325592,GT,L4
667,0.8033333420753479,GT,L4
668,1.3533333539962769,GT,L4
655,0.09333333373069763,GT,L4
662,1.5083333253860474,GT,L4
654,0.02666666731238365,GT,L4
652,0.08500000089406967,GT,L4
638,0.0016666667070239782,GT,L4
639,0.0016666667070239782,GT,L4
